ai_model_name,query_category,ai_confidence_percentage,response_character_count,has_cited_sources,contains_hedging_words,includes_disclaimer,answer_detail_level,respondent_age_bracket,education_level,digital_literacy_score,ai_familiarity_level,decision_importance,urgency_level,belief_alignment_status,subject_matter_expertise,trust_score_out_of_10,performed_fact_check,fact_check_method_used,verification_duration_mins,answer_accuracy_percentage,trust_calibration_valid,user_skepticism_category
Mistral,scientific_facts,87.5,214,FALSE,TRUE,TRUE,Moderate,35-44,Masters,Low,Expert,Medium,None,,FALSE,9,FALSE,,0,82.12,TRUE,Blind Trust
Mistral,current_events,75.36,495,TRUE,FALSE,FALSE,Vague,35-44,High School,High,Intermediate,Critical,High,FALSE,TRUE,6.6,TRUE,Academic Paper,28.5,52.54,TRUE,Skeptical
Llama,current_events,75.51,772,TRUE,FALSE,FALSE,Specific,45-54,Professional,High,Beginner,High,Medium,,TRUE,8.7,FALSE,,0,53.06,FALSE,Blind Trust
Claude,technical_coding,88.09,463,FALSE,FALSE,FALSE,Vague,35-44,Masters,Expert,First Time,Critical,High,,FALSE,8.4,TRUE,Google Search,20.6,77.59,TRUE,Moderate Trust
ChatGPT-3.5,general_knowledge,72.31,71,FALSE,FALSE,TRUE,Specific,65+,PhD,Low,Beginner,High,Medium,,FALSE,7.6,TRUE,Google Search,2.2,78.68,TRUE,Skeptical
Mistral,math_calculation,95.28,549,FALSE,FALSE,TRUE,Moderate,45-54,High School,Medium,Beginner,Medium,Low,FALSE,FALSE,10,FALSE,,0,97.67,TRUE,Blind Trust
Mistral,legal_advice,67.43,299,TRUE,FALSE,FALSE,Moderate,35-44,High School,Expert,Intermediate,Low,High,,FALSE,8.4,FALSE,,0,56.49,FALSE,Blind Trust
Llama,financial_advice,41.7,639,FALSE,FALSE,TRUE,Very Specific,18-24,PhD,Expert,Beginner,Critical,None,,FALSE,4.3,TRUE,Asked Colleague,27.1,49.97,TRUE,Highly Skeptical
Claude,financial_advice,59.39,439,TRUE,TRUE,TRUE,Moderate,55-64,Professional,Low,Expert,Critical,None,TRUE,FALSE,8.3,TRUE,Personal Testing,22.5,61.71,FALSE,Moderate Trust
Gemini,scientific_facts,72.1,572,FALSE,TRUE,TRUE,Specific,45-54,PhD,Medium,Advanced,Low,None,FALSE,FALSE,6.5,FALSE,,0,71.18,TRUE,Moderate Trust
Gemini,general_knowledge,80.69,227,TRUE,FALSE,TRUE,Very Specific,55-64,Masters,Low,Intermediate,Critical,High,TRUE,FALSE,10,FALSE,,0,75.48,FALSE,Blind Trust
Mistral,math_calculation,98.39,721,FALSE,TRUE,TRUE,Very Specific,65+,Masters,Medium,Expert,Critical,Low,TRUE,FALSE,10,FALSE,,0,100,TRUE,Blind Trust
Mistral,scientific_facts,70.92,184,FALSE,FALSE,TRUE,Vague,55-64,Bachelors,High,Expert,High,None,,FALSE,6.6,TRUE,Academic Paper,11.4,63.06,TRUE,Skeptical
Llama,recipe_cooking,85.83,478,TRUE,TRUE,FALSE,Vague,55-64,PhD,Medium,Beginner,Critical,Low,FALSE,TRUE,8.4,TRUE,Checked Official Source,17,76.23,TRUE,Moderate Trust
ChatGPT-3.5,scientific_facts,87.88,660,TRUE,TRUE,FALSE,Very Specific,45-54,Bachelors,Medium,Advanced,Low,Medium,TRUE,TRUE,10,FALSE,,0,82.38,TRUE,Blind Trust
ChatGPT-3.5,factual_historical,75.75,338,FALSE,FALSE,FALSE,Specific,35-44,Bachelors,Medium,Intermediate,Critical,None,TRUE,FALSE,9.3,TRUE,Asked Expert,24.4,66.71,FALSE,Moderate Trust
Llama,general_knowledge,73.57,400,FALSE,TRUE,FALSE,Moderate,65+,High School,Expert,First Time,Low,High,TRUE,FALSE,9.9,FALSE,,0,87.26,TRUE,Blind Trust
Claude,technical_coding,92.66,621,TRUE,TRUE,TRUE,Very Specific,65+,High School,Low,Beginner,Medium,None,FALSE,FALSE,9.7,FALSE,,0,85.98,TRUE,Blind Trust
Llama,math_calculation,87.81,401,TRUE,FALSE,FALSE,Specific,25-34,Professional,Medium,First Time,Low,None,TRUE,TRUE,10,FALSE,,0,88.09,TRUE,Blind Trust
Claude,recipe_cooking,86.76,707,TRUE,FALSE,TRUE,Very Specific,45-54,Masters,Medium,Beginner,Medium,Medium,FALSE,FALSE,10,FALSE,,0,74.48,FALSE,Blind Trust
GPT-4,recipe_cooking,85.95,750,FALSE,FALSE,FALSE,Very Specific,35-44,Professional,Low,Advanced,High,High,TRUE,TRUE,9.6,FALSE,,0,81.68,TRUE,Blind Trust
Gemini,legal_advice,61.69,411,TRUE,TRUE,TRUE,Vague,18-24,Professional,Low,Intermediate,Medium,None,FALSE,TRUE,6.7,TRUE,Checked Official Source,24.1,48.87,TRUE,Skeptical
Claude,legal_advice,69.98,298,TRUE,FALSE,TRUE,Moderate,55-64,Masters,Expert,First Time,High,Low,FALSE,TRUE,6.7,TRUE,Academic Paper,37.9,64.99,TRUE,Skeptical
GPT-4,financial_advice,46.04,513,FALSE,FALSE,TRUE,Moderate,45-54,Bachelors,Expert,Advanced,Low,High,,TRUE,5.1,FALSE,,0,50.97,TRUE,Skeptical
Claude,recipe_cooking,83.28,157,FALSE,TRUE,TRUE,Specific,18-24,Bachelors,Low,Expert,High,Low,,TRUE,7.6,TRUE,Asked Colleague,40.5,71.92,TRUE,Skeptical
ChatGPT-3.5,medical_advice,56.84,127,FALSE,FALSE,TRUE,Specific,18-24,Bachelors,Low,Advanced,Medium,Medium,TRUE,FALSE,8.3,TRUE,Cross-referenced Multiple AIs,34,43.79,FALSE,Moderate Trust
Gemini,opinion_based,48.63,417,TRUE,FALSE,TRUE,Specific,35-44,High School,Low,Beginner,Low,Low,FALSE,FALSE,7.2,FALSE,,0,29.53,FALSE,Moderate Trust
Gemini,recipe_cooking,89.42,279,FALSE,FALSE,TRUE,Very Specific,55-64,Masters,High,Intermediate,Medium,Medium,FALSE,TRUE,8.4,FALSE,,0,84.86,TRUE,Blind Trust
Claude,medical_advice,74.66,579,FALSE,FALSE,TRUE,Moderate,25-34,PhD,Medium,Beginner,Low,None,,FALSE,9.1,TRUE,Academic Paper,29.1,83.64,TRUE,Moderate Trust
Llama,legal_advice,45.19,586,TRUE,TRUE,TRUE,Vague,35-44,Masters,Low,Expert,Medium,None,TRUE,FALSE,7.6,TRUE,Google Search,44.1,41.67,FALSE,Skeptical
Llama,medical_advice,74.73,325,FALSE,FALSE,TRUE,Specific,25-34,PhD,Expert,Expert,Critical,Low,FALSE,FALSE,5.2,TRUE,Consulted Documentation,10.2,77.76,FALSE,Skeptical
Llama,legal_advice,47.95,442,TRUE,TRUE,TRUE,Moderate,55-64,High School,High,First Time,Medium,Medium,,FALSE,5.6,TRUE,Consulted Documentation,3.3,57.92,TRUE,Skeptical
Mistral,scientific_facts,77.57,761,FALSE,TRUE,TRUE,Very Specific,25-34,Professional,Expert,Intermediate,Medium,Medium,,TRUE,7.1,FALSE,,0,66.85,TRUE,Moderate Trust
Claude,financial_advice,62.73,716,FALSE,FALSE,TRUE,Vague,35-44,Bachelors,Expert,Intermediate,High,Medium,FALSE,FALSE,5.2,TRUE,Asked Colleague,23.7,76.41,FALSE,Skeptical
GPT-4,factual_historical,74.74,470,FALSE,TRUE,FALSE,Moderate,55-64,Bachelors,Medium,Advanced,High,High,TRUE,TRUE,8.2,FALSE,,0,70.49,TRUE,Blind Trust
GPT-4,general_knowledge,79.43,543,FALSE,FALSE,TRUE,Moderate,35-44,PhD,Medium,Intermediate,Low,Low,TRUE,FALSE,10,TRUE,Cross-referenced Multiple AIs,29.1,90.1,TRUE,Moderate Trust
